"","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",0,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"2",4.02684563758389e-05,"seagrass",619.46,NA,0,0.79,NA,0.11,5.43,NA,0,9170.2,NA,162.12,0,NA,0.69
"3",8.05369127516779e-05,"seagrass",549.63,NA,0,0.77,NA,0.11,4.87,NA,0,8314.48,NA,162.08,0,NA,0.69
"4",0.000120805369127517,"seagrass",492.69,NA,0,0.75,NA,0.11,4.42,NA,0,7611.72,NA,162.05,0,NA,0.69
"5",0.000161073825503356,"seagrass",445.41,NA,0,0.74,NA,0.11,4.04,NA,0,7023.89,NA,162.02,0.01,NA,0.69
"6",0.000201342281879195,"seagrass",405.58,NA,0,0.72,NA,0.11,3.72,NA,0,6524.66,NA,161.99,0.01,NA,0.69
"7",0.000241610738255034,"seagrass",371.59,NA,0,0.7,NA,0.11,3.45,NA,0,6095.18,NA,161.95,0.01,NA,0.69
"8",0.000281879194630873,"seagrass",342.27,NA,0,0.69,NA,0.11,3.21,NA,0,5721.64,NA,161.92,0.01,NA,0.69
"9",0.000322147651006711,"seagrass",316.75,NA,0,0.67,NA,0.11,3.01,NA,0,5393.65,NA,161.89,0.01,NA,0.69
"10",0.00036241610738255,"seagrass",294.36,NA,0,0.66,NA,0.11,2.83,NA,0,5103.28,NA,161.86,0.01,NA,0.69
"11",0.000402684563758389,"seagrass",274.57,NA,0,0.65,NA,0.11,2.66,NA,0,4844.33,NA,161.82,0.01,NA,0.69
"12",0.000442953020134228,"seagrass",256.97,NA,0,0.63,NA,0.11,2.52,NA,0,4611.91,NA,161.79,0.01,NA,0.69
"13",0.000483221476510067,"seagrass",241.23,NA,0,0.62,NA,0.11,2.39,NA,0,4402.11,NA,161.76,0.01,NA,0.69
"14",0.000523489932885906,"seagrass",227.08,NA,0,0.61,NA,0.11,2.28,NA,0,4211.74,NA,161.72,0.01,NA,0.69
"15",0.000563758389261745,"seagrass",214.3,NA,0,0.59,NA,0.11,2.17,NA,0,4038.21,NA,161.69,0.01,NA,0.69
"16",0.000604026845637584,"seagrass",202.72,NA,0,0.58,NA,0.11,2.07,NA,0,3879.36,NA,161.66,0.01,NA,0.69
"17",0.000644295302013423,"seagrass",192.17,NA,0,0.57,NA,0.11,1.99,NA,0,3733.39,NA,161.63,0.01,NA,0.69
"18",0.000684563758389262,"seagrass",182.53,NA,0,0.56,NA,0.11,1.91,NA,0,3598.79,NA,161.59,0.01,NA,0.69
"19",0.000724832214765101,"seagrass",173.71,NA,0,0.55,NA,0.11,1.83,NA,0,3474.26,NA,161.56,0.01,NA,0.69
"20",0.00076510067114094,"seagrass",165.59,NA,0,0.54,NA,0.11,1.77,NA,0,3358.72,NA,161.53,0.01,NA,0.69
"21",0.000805369127516779,"seagrass",158.11,NA,0,0.53,NA,0.11,1.7,NA,0,3251.22,NA,161.5,0.01,NA,0.69
"22",0.000845637583892618,"seagrass",151.2,NA,0,0.52,NA,0.11,1.64,NA,0,3150.94,NA,161.46,0.01,NA,0.69
"23",0.000885906040268456,"seagrass",144.79,NA,0,0.51,NA,0.11,1.59,NA,0,3057.17,NA,161.43,0.01,NA,0.69
"24",0.000926174496644295,"seagrass",138.85,NA,0,0.5,NA,0.11,1.54,NA,0,2969.3,NA,161.4,0.01,NA,0.69
"25",0.000966442953020134,"seagrass",133.31,NA,0,0.49,NA,0.11,1.49,NA,0,2886.78,NA,161.37,0.01,NA,0.69
"26",0.00100671140939597,"seagrass",128.16,NA,0,0.48,NA,0.11,1.45,NA,0,2809.14,NA,161.33,0.01,NA,0.69
"27",0.00104697986577181,"seagrass",123.34,NA,0,0.47,NA,0.11,1.41,NA,0,2735.95,NA,161.3,0.01,NA,0.69
"28",0.00108724832214765,"seagrass",118.82,NA,0,0.47,NA,0.11,1.37,NA,0,2666.83,NA,161.27,0.01,NA,0.69
"29",0.00112751677852349,"seagrass",114.6,NA,0,0.46,NA,0.11,1.33,NA,0,2601.45,NA,161.24,0.01,NA,0.69
"30",0.00116778523489933,"bistable",110.62,0.04,0,0.45,0.11,0.11,1.3,0,0,2539.51,163.05,161.2,0.01,0.69,0.69
"31",0.00120805369127517,"bistable",106.89,0.26,0,0.44,0.11,0.11,1.26,0.01,0,2480.73,173.06,161.17,0.01,0.69,0.69
"32",0.00124832214765101,"bistable",103.37,0.49,0,0.44,0.11,0.11,1.23,0.01,0,2424.89,183.18,161.14,0.01,0.68,0.69
"33",0.00128859060402685,"bistable",100.05,0.73,0,0.43,0.11,0.11,1.2,0.02,0,2371.75,193.4,161.11,0.02,0.68,0.69
"34",0.00132885906040268,"bistable",96.91,0.96,0,0.42,0.12,0.11,1.17,0.02,0,2321.12,203.74,161.07,0.02,0.68,0.69
"35",0.00136912751677852,"bistable",93.94,1.21,0,0.42,0.12,0.11,1.15,0.03,0,2272.81,214.19,161.04,0.02,0.67,0.69
"36",0.00140939597315436,"bistable",91.13,1.46,0,0.41,0.12,0.11,1.12,0.04,0,2226.68,224.76,161.01,0.02,0.67,0.69
"37",0.0014496644295302,"bistable",88.46,1.71,0,0.41,0.12,0.11,1.1,0.04,0,2182.56,235.45,160.98,0.02,0.67,0.69
"38",0.00148993288590604,"bistable",85.93,1.97,0,0.4,0.12,0.11,1.07,0.05,0,2140.32,246.26,160.94,0.02,0.66,0.69
"39",0.00153020134228188,"bistable",83.52,2.23,0,0.4,0.12,0.11,1.05,0.06,0,2099.83,257.2,160.91,0.02,0.66,0.69
"40",0.00157046979865772,"bistable",81.23,2.51,0,0.39,0.12,0.11,1.03,0.06,0,2060.99,268.27,160.88,0.02,0.65,0.69
"41",0.00161073825503356,"bistable",79.04,2.78,0,0.39,0.12,0.11,1.01,0.07,0,2023.68,279.48,160.85,0.02,0.65,0.69
"42",0.0016510067114094,"bistable",76.96,3.07,0,0.38,0.13,0.11,0.99,0.07,0,1987.8,290.83,160.82,0.02,0.65,0.69
"43",0.00169127516778524,"bistable",74.96,3.36,0,0.38,0.13,0.11,0.97,0.08,0,1953.28,302.33,160.78,0.02,0.64,0.69
"44",0.00173154362416107,"bistable",73.06,3.66,0,0.37,0.13,0.11,0.96,0.09,0,1920.01,313.98,160.75,0.02,0.64,0.69
"45",0.00177181208053691,"bistable",71.24,3.96,0,0.37,0.13,0.11,0.94,0.09,0,1887.93,325.78,160.72,0.02,0.63,0.69
"46",0.00181208053691275,"bistable",69.49,4.27,0,0.36,0.13,0.11,0.92,0.1,0,1856.97,337.75,160.69,0.02,0.63,0.69
"47",0.00185234899328859,"bistable",67.82,4.6,0,0.36,0.13,0.11,0.91,0.11,0,1827.05,349.89,160.65,0.02,0.62,0.69
"48",0.00189261744966443,"bistable",66.21,4.92,0,0.35,0.14,0.11,0.89,0.12,0,1798.12,362.2,160.62,0.03,0.62,0.69
"49",0.00193288590604027,"bistable",64.66,5.26,0,0.35,0.14,0.11,0.88,0.12,0,1770.11,374.7,160.59,0.03,0.61,0.69
"50",0.00197315436241611,"bistable",63.18,5.61,0,0.34,0.14,0.11,0.86,0.13,0,1742.97,387.39,160.56,0.03,0.61,0.69
"51",0.00201342281879195,"bistable",61.74,5.96,0,0.34,0.14,0.11,0.85,0.14,0,1716.65,400.27,160.52,0.03,0.6,0.69
