"pmax","temp","ma","pattern","lag"
1000,1000,0,"++",275.183561643836
947.367123287671,1000,0,"++",308.364383561644
894.73698630137,1000,0,"++",325.312328767123
842.104109589041,1000,0,"++",340.895890410959
789.47397260274,1000,0,"++",358.109589041096
736.841095890411,1000,0,"++",377.991780821918
684.21095890411,1000,0,"++",401.106849315068
631.578082191781,1000,0,"++",427.778082191781
578.947945205479,1000,0,"++",458.115068493151
526.315068493151,1000,0,"++",492.084931506849
473.684931506849,1000,0,"++",529.520547945206
421.052054794521,1000,0,"++",570.194520547945
368.421917808219,1000,0,"++",613.769863013699
315.78904109589,1000,0,"++",659.704109589041
263.158904109589,1000,0,"++",707.438356164384
210.52602739726,1000,0,"++",756.715068493151
157.895890410959,1000,0,"++",807.386301369863
105.26301369863,1000,0,"++",859.306849315068
52.6328767123288,1000,0,"++",912.205479452055
0,1000,0,"+-",299.906849315068
1000,947.367123287671,0,"++",244.323287671233
947.367123287671,947.367123287671,0,"++",273.517808219178
894.73698630137,947.367123287671,0,"++",300.306849315069
842.104109589041,947.367123287671,0,"++",315.671232876712
789.47397260274,947.367123287671,0,"++",330.402739726027
736.841095890411,947.367123287671,0,"++",347.167123287671
684.21095890411,947.367123287671,0,"++",367.076712328767
631.578082191781,947.367123287671,0,"++",390.619178082192
578.947945205479,947.367123287671,0,"++",418.057534246575
526.315068493151,947.367123287671,0,"++",449.504109589041
473.684931506849,947.367123287671,0,"++",484.86301369863
421.052054794521,947.367123287671,0,"++",523.898630136986
368.421917808219,947.367123287671,0,"++",566.249315068493
315.78904109589,947.367123287671,0,"++",611.358904109589
263.158904109589,947.367123287671,0,"++",658.53698630137
210.52602739726,947.367123287671,0,"++",707.416438356164
157.895890410959,947.367123287671,0,"++",757.816438356164
105.26301369863,947.367123287671,0,"++",809.578082191781
52.6328767123288,947.367123287671,0,"++",862.419178082192
0,947.367123287671,0,"+-",299.715068493151
1000,894.73698630137,0,"++",224.304109589041
947.367123287671,894.73698630137,0,"++",241.515068493151
894.73698630137,894.73698630137,0,"++",271.632876712329
842.104109589041,894.73698630137,0,"++",293.323287671233
789.47397260274,894.73698630137,0,"++",307.104109589041
736.841095890411,894.73698630137,0,"++",320.912328767123
684.21095890411,894.73698630137,0,"++",337.087671232877
631.578082191781,894.73698630137,0,"++",356.783561643836
578.947945205479,894.73698630137,0,"++",380.652054794521
526.315068493151,894.73698630137,0,"++",408.956164383562
473.684931506849,894.73698630137,0,"++",441.649315068493
421.052054794521,894.73698630137,0,"++",478.556164383562
368.421917808219,894.73698630137,0,"++",519.320547945205
315.78904109589,894.73698630137,0,"++",563.356164383562
263.158904109589,894.73698630137,0,"++",609.835616438356
210.52602739726,894.73698630137,0,"++",658.232876712329
157.895890410959,894.73698630137,0,"++",708.304109589041
105.26301369863,894.73698630137,0,"++",759.879452054795
52.6328767123288,894.73698630137,0,"++",812.646575342466
0,894.73698630137,0,"+-",299.591780821918
1000,842.104109589041,0,"++",208.915068493151
947.367123287671,842.104109589041,0,"++",220.986301369863
894.73698630137,842.104109589041,0,"++",238.638356164384
842.104109589041,842.104109589041,0,"++",269.704109589041
789.47397260274,842.104109589041,0,"++",287.304109589041
736.841095890411,842.104109589041,0,"++",299.597260273973
684.21095890411,842.104109589041,0,"++",312.454794520548
631.578082191781,842.104109589041,0,"++",327.986301369863
578.947945205479,842.104109589041,0,"++",347.402739726027
526.315068493151,842.104109589041,0,"++",371.490410958904
473.684931506849,842.104109589041,0,"++",400.597260273973
421.052054794521,842.104109589041,0,"++",434.665753424658
368.421917808219,842.104109589041,0,"++",473.284931506849
315.78904109589,842.104109589041,0,"++",515.854794520548
263.158904109589,842.104109589041,0,"++",561.416438356164
210.52602739726,842.104109589041,0,"++",609.202739726027
157.895890410959,842.104109589041,0,"++",658.87397260274
105.26301369863,842.104109589041,0,"++",710.21095890411
52.6328767123288,842.104109589041,0,"++",762.879452054795
0,842.104109589041,0,"+-",299.531506849315
1000,789.47397260274,0,"++",196.238356164384
947.367123287671,789.47397260274,0,"++",205.482191780822
894.73698630137,789.47397260274,0,"++",217.923287671233
842.104109589041,789.47397260274,0,"++",237.304109589041
789.47397260274,789.47397260274,0,"++",267.734246575342
736.841095890411,789.47397260274,0,"++",282.123287671233
684.21095890411,789.47397260274,0,"++",293.076712328767
631.578082191781,789.47397260274,0,"++",305.035616438356
578.947945205479,789.47397260274,0,"++",319.906849315068
526.315068493151,789.47397260274,0,"++",339.021917808219
473.684931506849,789.47397260274,0,"++",363.33698630137
421.052054794521,789.47397260274,0,"++",393.301369863014
368.421917808219,789.47397260274,0,"++",428.78904109589
315.78904109589,789.47397260274,0,"++",469.205479452055
263.158904109589,789.47397260274,0,"++",513.452054794521
210.52602739726,789.47397260274,0,"++",560.419178082192
157.895890410959,789.47397260274,0,"++",609.561643835616
105.26301369863,789.47397260274,0,"++",660.591780821918
52.6328767123288,789.47397260274,0,"++",713.13698630137
0,789.47397260274,0,"+-",299.53698630137
1000,736.841095890411,0,"++",185.635616438356
947.367123287671,736.841095890411,0,"++",193.049315068493
894.73698630137,736.841095890411,0,"++",202.547945205479
842.104109589041,736.841095890411,0,"++",215.731506849315
789.47397260274,736.841095890411,0,"++",238.317808219178
736.841095890411,736.841095890411,0,"++",265.717808219178
684.21095890411,736.841095890411,0,"++",277.627397260274
631.578082191781,736.841095890411,0,"++",287.441095890411
578.947945205479,736.841095890411,0,"++",298.586301369863
526.315068493151,736.841095890411,0,"++",312.849315068493
473.684931506849,736.841095890411,0,"++",331.690410958904
421.052054794521,736.841095890411,0,"++",356.295890410959
368.421917808219,736.841095890411,0,"++",387.241095890411
315.78904109589,736.841095890411,0,"++",424.315068493151
263.158904109589,736.841095890411,0,"++",466.465753424658
210.52602739726,736.841095890411,0,"++",512.186301369863
157.895890410959,736.841095890411,0,"++",560.575342465753
105.26301369863,736.841095890411,0,"++",611.175342465753
52.6328767123288,736.841095890411,0,"++",663.534246575342
0,736.841095890411,0,"+-",299.61095890411
1000,684.21095890411,0,"++",176.430136986301
947.367123287671,684.21095890411,0,"++",182.539726027397
894.73698630137,684.21095890411,0,"++",190.128767123288
842.104109589041,684.21095890411,0,"++",200.049315068493
789.47397260274,684.21095890411,0,"++",214.4
736.841095890411,684.21095890411,0,"++",242.821917808219
684.21095890411,684.21095890411,0,"++",263.641095890411
631.578082191781,684.21095890411,0,"++",273.67397260274
578.947945205479,684.21095890411,0,"++",282.561643835616
526.315068493151,684.21095890411,0,"++",293.030136986301
473.684931506849,684.21095890411,0,"++",306.786301369863
421.052054794521,684.21095890411,0,"++",325.457534246575
368.421917808219,684.21095890411,0,"++",350.479452054795
315.78904109589,684.21095890411,0,"++",382.58904109589
263.158904109589,684.21095890411,0,"++",421.328767123288
210.52602739726,684.21095890411,0,"++",465.013698630137
157.895890410959,684.21095890411,0,"++",512.213698630137
105.26301369863,684.21095890411,0,"++",562.161643835616
52.6328767123288,684.21095890411,0,"++",614.235616438356
0,684.21095890411,0,"+-",299.756164383562
1000,631.578082191781,0,"++",168.194520547945
947.367123287671,631.578082191781,0,"++",173.32602739726
894.73698630137,631.578082191781,0,"++",179.547945205479
842.104109589041,631.578082191781,0,"++",187.38904109589
789.47397260274,631.578082191781,0,"++",197.904109589041
736.841095890411,631.578082191781,0,"++",214.016438356164
684.21095890411,631.578082191781,0,"++",245.917808219178
631.578082191781,631.578082191781,0,"++",261.504109589041
578.947945205479,631.578082191781,0,"++",270.131506849315
526.315068493151,631.578082191781,0,"++",278.304109589041
473.684931506849,631.578082191781,0,"++",288.260273972603
421.052054794521,631.578082191781,0,"++",301.671232876712
368.421917808219,631.578082191781,0,"++",320.339726027397
315.78904109589,631.578082191781,0,"++",345.991780821918
263.158904109589,631.578082191781,0,"++",379.468493150685
210.52602739726,631.578082191781,0,"++",419.728767123288
157.895890410959,631.578082191781,0,"++",464.912328767123
105.26301369863,631.578082191781,0,"++",513.764383561644
52.6328767123288,631.578082191781,0,"++",565.342465753425
0,631.578082191781,0,"+-",299.972602739726
1000,578.947945205479,0,"++",160.66301369863
947.367123287671,578.947945205479,0,"++",165.016438356164
894.73698630137,578.947945205479,0,"++",170.205479452055
842.104109589041,578.947945205479,0,"++",176.575342465753
789.47397260274,578.947945205479,0,"++",184.745205479452
736.841095890411,578.947945205479,0,"++",196.057534246575
684.21095890411,578.947945205479,0,"++",214.890410958904
631.578082191781,578.947945205479,0,"++",247.117808219178
578.947945205479,578.947945205479,0,"++",259.298630136986
526.315068493151,578.947945205479,0,"++",266.887671232877
473.684931506849,578.947945205479,0,"++",274.542465753425
421.052054794521,578.947945205479,0,"++",284.164383561644
368.421917808219,578.947945205479,0,"++",297.438356164384
315.78904109589,578.947945205479,0,"++",316.367123287671
263.158904109589,578.947945205479,0,"++",342.956164383562
210.52602739726,578.947945205479,0,"++",377.816438356164
157.895890410959,578.947945205479,0,"++",419.512328767123
105.26301369863,578.947945205479,0,"++",466.41095890411
52.6328767123288,578.947945205479,0,"++",517.071232876712
0,578.947945205479,0,"+-",300.27397260274
1000,526.315068493151,0,"++",153.679452054795
947.367123287671,526.315068493151,0,"++",157.383561643836
894.73698630137,526.315068493151,0,"++",161.750684931507
842.104109589041,526.315068493151,0,"++",167.005479452055
789.47397260274,526.315068493151,0,"++",173.550684931507
736.841095890411,526.315068493151,0,"++",182.12602739726
684.21095890411,526.315068493151,0,"++",194.479452054795
631.578082191781,526.315068493151,0,"++",217.950684931507
578.947945205479,526.315068493151,0,"++",247.13698630137
526.315068493151,526.315068493151,0,"++",257.008219178082
473.684931506849,526.315068493151,0,"++",263.846575342466
421.052054794521,526.315068493151,0,"++",271.158904109589
368.421917808219,526.315068493151,0,"++",280.646575342466
315.78904109589,526.315068493151,0,"++",294.049315068493
263.158904109589,526.315068493151,0,"++",313.58904109589
210.52602739726,526.315068493151,0,"++",341.350684931507
157.895890410959,526.315068493151,0,"++",377.504109589041
105.26301369863,526.315068493151,0,"++",420.923287671233
52.6328767123288,526.315068493151,0,"++",469.816438356164
0,526.315068493151,0,"+-",300.665753424658
1000,473.684931506849,0,"++",147.139726027397
947.367123287671,473.684931506849,0,"++",150.295890410959
894.73698630137,473.684931506849,0,"++",153.972602739726
842.104109589041,473.684931506849,0,"++",158.345205479452
789.47397260274,473.684931506849,0,"++",163.668493150685
736.841095890411,473.684931506849,0,"++",170.405479452055
684.21095890411,473.684931506849,0,"++",179.457534246575
631.578082191781,473.684931506849,0,"++",193.175342465753
578.947945205479,473.684931506849,0,"++",224.717808219178
526.315068493151,473.684931506849,0,"++",246.356164383562
473.684931506849,473.684931506849,0,"++",254.621917808219
421.052054794521,473.684931506849,0,"++",260.93698630137
368.421917808219,473.684931506849,0,"++",268.065753424658
315.78904109589,473.684931506849,0,"++",277.638356164384
263.158904109589,473.684931506849,0,"++",291.493150684931
210.52602739726,473.684931506849,0,"++",312.038356164384
157.895890410959,473.684931506849,0,"++",340.945205479452
105.26301369863,473.684931506849,0,"++",378.739726027397
52.6328767123288,473.684931506849,0,"++",424.356164383562
0,473.684931506849,0,"+-",301.158904109589
1000,421.052054794521,0,"++",140.991780821918
947.367123287671,421.052054794521,0,"++",143.668493150685
894.73698630137,421.052054794521,0,"++",146.761643835616
842.104109589041,421.052054794521,0,"++",150.394520547945
789.47397260274,421.052054794521,0,"++",154.753424657534
736.841095890411,421.052054794521,0,"++",160.13698630137
684.21095890411,421.052054794521,0,"++",167.071232876712
631.578082191781,421.052054794521,0,"++",176.665753424658
578.947945205479,421.052054794521,0,"++",192.180821917808
526.315068493151,421.052054794521,0,"++",228.73698630137
473.684931506849,421.052054794521,0,"++",244.994520547945
421.052054794521,421.052054794521,0,"++",252.128767123288
368.421917808219,421.052054794521,0,"++",258.084931506849
315.78904109589,421.052054794521,0,"++",265.197260273973
263.158904109589,421.052054794521,0,"++",275.101369863014
210.52602739726,421.052054794521,0,"++",289.821917808219
157.895890410959,421.052054794521,0,"++",311.457534246575
105.26301369863,421.052054794521,0,"++",341.827397260274
52.6328767123288,421.052054794521,0,"++",381.997260273973
0,421.052054794521,0,"+-",301.761643835616
1000,368.421917808219,0,"++",135.235616438356
947.367123287671,368.421917808219,0,"++",137.479452054795
894.73698630137,368.421917808219,0,"++",140.054794520548
842.104109589041,368.421917808219,0,"++",143.057534246575
789.47397260274,368.421917808219,0,"++",146.613698630137
736.841095890411,368.421917808219,0,"++",150.934246575342
684.21095890411,368.421917808219,0,"++",156.347945205479
631.578082191781,368.421917808219,0,"++",163.465753424658
